"run","day","filename","filename_fullpaths","sample_name","site","samplenumber_site","latlong","collection_date","inclusionexclusionreason"
"052214DR16s","day0","day0_A02.WYT103_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_A02.WYT103_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT103","WYT","103","51.7728 N 1.337 W","2013-10-25","this study"
"052214DR16s","day0","day0_A02.WYT41_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_A02.WYT41_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT41","WYT","41","51.7687 N 1.3291 W","2013-10-22","this study"
"052214DR16s","day0","day0_A03.BW01_052214DR16s-Sam241-320-pr_filt.fastq.gz","3_filtered/day0_A03.BW01_052214DR16s-Sam241-320-pr_filt.fastq.gz","BW01","BW","1","51.54858 N 0.77309 W","2013-10-29","this study"
"052214DR16s","day0","day0_A03.SAC09_052214DR16s-Sam1-80-pr_filt.fastq.gz","3_filtered/day0_A03.SAC09_052214DR16s-Sam1-80-pr_filt.fastq.gz","SAC09","SAC","9","51.76949 N 0.34862 W","2013-12-03","this study"
"052214DR16s","day0","day0_A03.WGP17_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_A03.WGP17_052214DR16s-Sam476-550_filt.fastq.gz","WGP17","WGP","17","51.437 N 0.6131 W","2013-09-26","this study"
"052214DR16s","day0","day0_A03.WYM41_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_A03.WYM41_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM41","WYM","41","51.7686 N 1.3356 W","2013-10-22","this study"
"052214DR16s","day0","day0_A03.WYT09_052214DR16s-SAM81-160-pr_filt.fastq.gz","3_filtered/day0_A03.WYT09_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYT09","WYT","9","51.7693 N 1.3293 W","2013-10-16","this study"
"052214DR16s","day0","day0_A03.WYT111_052214DR16s-Sam776-850-pr_filt.fastq.gz","3_filtered/day0_A03.WYT111_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT111","WYT","111","51.7717 N 1.3376 W","2013-10-25","this study"
"052214DR16s","day0","day0_A03.WYT49_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_A03.WYT49_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT49","WYT","49","51.7648 N 1.3278 W","2013-10-22","this study"
"052214DR16s","day0","day0_A04.BB65_052214DR16s-Sam701-775-pr_filt.fastq.gz","3_filtered/day0_A04.BB65_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB65","BB","65","51.5599 N 0.6324 W","2013-08-29","this study"
"052214DR16s","day0","day0_A04.BW09_052214DR16s-Sam476-550_filt.fastq.gz","3_filtered/day0_A04.BW09_052214DR16s-Sam476-550_filt.fastq.gz","BW09","BW","9","51.54783 N 0.77311 W","2013-10-29","this study"
"052214DR16s","day0","day0_A04.PH17_052214DR16s-Sam551-625-pr_filt.fastq.gz","3_filtered/day0_A04.PH17_052214DR16s-Sam551-625-pr_filt.fastq.gz","PH17","PH","17","51.57016 N 0.81297 W","2013-12-07","this study"
