"X","filename","community","day","rep","seq.run","well"
257,"day0_C01.AE51_052214DR16s-Sam476-550_filt.fastq.gz","AE51",0,NA,"052214DR16s","C01"
260,"day0_C01.HW11_052214DR16s-Sam401-475-pr_filt.fastq.gz","HW11",0,NA,"052214DR16s","C01"
261,"day0_C01.OWW11_052214DR16s-SAM81-160-pr_filt.fastq.gz","OWW11",0,NA,"052214DR16s","C01"
263,"day0_C01.WYT03_052214DR16s-Sam241-320-pr_filt.fastq.gz","WYT03",0,NA,"052214DR16s","C01"
265,"day0_C01.WYT97_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT97",0,NA,"052214DR16s","C01"
266,"day0_C02.AE59_052214DR16s-Sam476-550_filt.fastq.gz","AE59",0,NA,"052214DR16s","C02"
267,"day0_C02.BB11_052214DR16s-Sam1-80-pr_filt.fastq.gz","BB11",0,NA,"052214DR16s","C02"
269,"day0_C02.BCW03_052214DR16s-Sam241-320-pr_filt.fastq.gz","BCW03",0,NA,"052214DR16s","C02"
270,"day0_C02.BCW19_052214DR16s-SAM81-160-pr_filt.fastq.gz","BCW19",0,NA,"052214DR16s","C02"
271,"day0_C02.WiW19_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW19",0,NA,"052214DR16s","C02"
272,"day0_C02.WYM35_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM35",0,NA,"052214DR16s","C02"
273,"day0_C02.WYT105_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT105",0,NA,"052214DR16s","C02"
274,"day0_C02.WYT43_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT43",0,NA,"052214DR16s","C02"
276,"day0_C03.BW03_052214DR16s-Sam241-320-pr_filt.fastq.gz","BW03",0,NA,"052214DR16s","C03"
277,"day0_C03.SAC11_052214DR16s-Sam1-80-pr_filt.fastq.gz","SAC11",0,NA,"052214DR16s","C03"
278,"day0_C03.WGP19_052214DR16s-Sam476-550_filt.fastq.gz","WGP19",0,NA,"052214DR16s","C03"
279,"day0_C03.WiW27_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW27",0,NA,"052214DR16s","C03"
280,"day0_C03.WYM43_052214DR16s-Sam701-775-pr_filt.fastq.gz","WYM43",0,NA,"052214DR16s","C03"
282,"day0_C03.WYT113_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT113",0,NA,"052214DR16s","C03"
283,"day0_C03.WYT51_052214DR16s-Sam551-625-pr_filt.fastq.gz","WYT51",0,NA,"052214DR16s","C03"
284,"day0_C04.BB67_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB67",0,NA,"052214DR16s","C04"
285,"day0_C04.BW11_052214DR16s-Sam476-550_filt.fastq.gz","BW11",0,NA,"052214DR16s","C04"
286,"day0_C04.PH19_052214DR16s-Sam626-700-pr_filt.fastq.gz","PH19",0,NA,"052214DR16s","C04"
287,"day0_C04.SAC03_052214DR16s-Sam321-400-pr_filt.fastq.gz","SAC03",0,NA,"052214DR16s","C04"
289,"day0_C04.WiW35_052214DR16s-Sam401-475-pr_filt.fastq.gz","WiW35",0,NA,"052214DR16s","C04"
290,"day0_C04.WYC11_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC11",0,NA,"052214DR16s","C04"
291,"day0_C04.WYD11_052214DR16s-Sam1-80-pr_filt.fastq.gz","WYD11",0,NA,"052214DR16s","C04"
292,"day0_C04.WYT71a_052214DR16s-Sam776-850-pr_filt.fastq.gz","WYT71a",0,NA,"052214DR16s","C04"
293,"day0_C05.AE03_052214DR16s-Sam321-400-pr_filt.fastq.gz","AE03",0,NA,"052214DR16s","C05"
294,"day0_C05.BB51_052214DR16s-Sam626-700-pr_filt.fastq.gz","BB51",0,NA,"052214DR16s","C05"
295,"day0_C05.BB75_052214DR16s-Sam701-775-pr_filt.fastq.gz","BB75",0,NA,"052214DR16s","C05"
296,"day0_C05.BB91_052214DR16s-Sam776-850-pr_filt.fastq.gz","BB91",0,NA,"052214DR16s","C05"
297,"day0_C05.BCW11_052214DR16s-Sam1-80-pr_filt.fastq.gz","BCW11",0,NA,"052214DR16s","C05"
298,"day0_C05.SP12_052214DR16s-Sam401-475-pr_filt.fastq.gz","SP12",0,NA,"052214DR16s","C05"
299,"day0_C05.WYC19_052214DR16s-SAM81-160-pr_filt.fastq.gz","WYC19",0,NA,"052214DR16s","C05"
