"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_B04.BB66_052214DR16s-Sam701-775-pr_filt","day0_B04.BB66","BB66","BB","66","51.5596 N 0.6315 W",2013-08-29
"day0_B04.BW10_052214DR16s-Sam476-550_filt","day0_B04.BW10","BW10","BW","10","51.54765 N 0.77302 W",2013-10-29
"day0_B04.PH18_052214DR16s-Sam626-700-pr_filt","day0_B04.PH18","PH18","PH","18","51.56984 N 0.81291 W",2013-12-07
"day0_B04.SAC02_052214DR16s-Sam321-400-pr_filt","day0_B04.SAC02","SAC02","SAC","2","51.76587 N 0.33455 W",2013-12-03
"day0_B04.WiW34_052214DR16s-Sam401-475-pr_filt","day0_B04.WiW34","WiW34","WiW","34","51.4417 N 0.6018 W",2013-09-18
"day0_B04.WYC10_052214DR16s-SAM81-160-pr_filt","day0_B04.WYC10","WYC10","WYC","10","51.7693 N 1.3292 W",2013-10-22
"day0_B04.WYD10_052214DR16s-Sam1-80-pr_filt","day0_B04.WYD10","WYD10","WYD","10","51.769 N 1.3289 W",2013-10-22
"day0_B04.WYT69_052214DR16s-Sam776-850-pr_filt","day0_B04.WYT69","WYT69","WYT","69","51.7697 N 1.3348 W",2013-10-25
"day0_B05.AE02_052214DR16s-Sam321-400-pr_filt","day0_B05.AE02","AE02","AE","2","51.7868 N 0.5538 W",2013-10-30
"day0_B05.BB50_052214DR16s-Sam626-700-pr_filt","day0_B05.BB50","BB50","BB","50","51.5584 N 0.6298 W",2013-08-29
"day0_B05.BB74_052214DR16s-Sam701-775-pr_filt","day0_B05.BB74","BB74","BB","74","51.5601 N 0.6334 W",2013-08-29
"day0_B05.BB90_052214DR16s-Sam776-850-pr_filt","day0_B05.BB90","BB90","BB","90","51.5568 N 0.6374 W",2013-08-29
"day0_B05.BCW10_052214DR16s-Sam1-80-pr_filt","day0_B05.BCW10","BCW10","BCW","10","50.9714 N 3.4553 W",2014-04-21
"day0_B05.SP11_052214DR16s-Sam401-475-pr_filt","day0_B05.SP11","SP11","SP","11","51.4082 N 0.6409 W",2014-04-24
"day0_B05.WYC18_052214DR16s-SAM81-160-pr_filt","day0_B05.WYC18","WYC18","WYC","18","51.7687 N 1.3292 W",2013-10-22
"day0_B06.AE90_052214DR16s-Sam776-850-pr_filt","day0_B06.AE90","AE90","AE","90","51.79053 N 0.55789 W",2013-11-18
"day0_B06.BB18_052214DR16s-SAM81-160-pr_filt","day0_B06.BB18","BB18","BB","18","51.5573 N 0.6325 W",2013-08-20
"day0_B06.BB58_052214DR16s-Sam626-700-pr_filt","day0_B06.BB58","BB58","BB","58","51.559 N 0.6295 W",2013-08-29
"day0_B06.BB82_052214DR16s-Sam701-775-pr_filt","day0_B06.BB82","BB82","BB","82","51.5611 N 0.6348 W",2013-08-29
"day0_B06.WGP02_052214DR16s-Sam321-400-pr_filt","day0_B06.WGP02","WGP02","WGP","2","51.4098 N 0.6219 W",2013-09-04
"day0_B06.WGP10_052214DR16s-Sam1-80-pr_filt","day0_B06.WGP10","WGP10","WGP","10","51.41 N 0.6056 W",2013-09-04
"day0_B06.WYC34_052214DR16s-Sam476-550_filt","day0_B06.WYC34","WYC34","WYC","34","51.7685 N 1.336 W",2013-10-22
"day0_B06.WYC42_052214DR16s-Sam401-475-pr_filt","day0_B06.WYC42","WYC42","WYC","42","51.7685 N 1.336 W",2013-10-22
"day0_B07.AE102_052214DR16s-Sam776-850-pr_filt","day0_B07.AE102","AE102","AE","102","51.79487 N 0.56205 W",2013-11-18
"day0_B07.AE66_052214DR16s-Sam626-700-pr_filt","day0_B07.AE66","AE66","AE","66","51.77966 N 0.54385 W",2013-10-30
"day0_B07.BB26_052214DR16s-SAM81-160-pr_filt","day0_B07.BB26","BB26","BB","26","51.5604 N 0.6358 W",2013-08-20
"day0_B07.PH10_052214DR16s-Sam476-550_filt","day0_B07.PH10","PH10","PH","10","51.57204 N 0.81328 W",2013-12-07
"day0_B07.WEL02_052214DR16s-Sam321-400-pr_filt","day0_B07.WEL02","WEL02","WEL","2","50.9459 N 3.2072 W",2013-12-29
"day0_B07.WP02_052214DR16s-Sam1-80-pr_filt","day0_B07.WP02","WP02","WP","2","51.3222 N 0.61572 W",2013-11-28
"day0_B07.WYT58_052214DR16s-Sam701-775-pr_filt","day0_B07.WYT58","WYT58","WYT","58","51.7687 N 1.3358 W",2013-10-22
"day0_B08.AE110_052214DR16s-Sam851-925-pr_filt","day0_B08.AE110","AE110","AE","110","51.79537 N 0.56065 W",2013-11-18
"day0_B08.AE18_052214DR16s-Sam551-625-pr_filt","day0_B08.AE18","AE18","AE","18","51.78599 N 0.55237 W",2013-10-30
"day0_B08.BB34_052214DR16s-SAM81-160-pr_filt","day0_B08.BB34","BB34","BB","34","51.551 N 0.6327 W",2013-08-29
"day0_B08.LW08_052214DR16s-Sam1-80-pr_filt","day0_B08.LW08","LW08","LW","8","51.4245 N 0.6382 W",2013-09-12
"day0_B08.OWW02_052214DR16s-Sam321-400-pr_filt","day0_B08.OWW02","OWW02","OWW","2","51.4503 N 0.5941 W",2013-09-26
"day0_B08.WEL18_052214DR16s-Sam401-475-pr_filt","day0_B08.WEL18","WEL18","WEL","18","50.9454 N 3.2104 W",2013-12-29
"day0_B08.WYT72_052214DR16s-Sam626-700-pr_filt","day0_B08.WYT72","WYT72","WYT","72","51.7697 N 1.3348 W",2013-10-25
"day0_B09.AE113_052214DR16s-Sam851-925-pr_filt","day0_B09.AE113","AE113","AE","113","51.7962 N 0.5654 W",2013-11-21
"day0_B09.HW02_052214DR16s-Sam1-80-pr_filt","day0_B09.HW02","HW02","HW","2","51.58516 N 0.77863 W",2013-10-29
"day0_B09.PH02_052214DR16s-Sam161-240-pr_filt","day0_B09.PH02","PH02","PH","2","51.57306 N 0.81191 W",2013-12-07
"day0_B09.WiW02_052214DR16s-Sam321-400-pr_filt","day0_B09.WiW02","WiW02","WiW","2","51.4117 N 0.6208 W",2013-09-18
"day0_B09.WYT116_052214DR16s-Sam401-475-pr_filt","day0_B09.WYT116","WYT116","WYT","116","51.772 N 1.3364 W",2013-10-25
"day0_B09.WYT26_052214DR16s-Sam551-625-pr_filt","day0_B09.WYT26","WYT26","WYT","26","51.7694 N 1.3297 W",2013-10-22
"day0_B09.WYT80_052214DR16s-Sam626-700-pr_filt","day0_B09.WYT80","WYT80","WYT","80","51.7701 N 1.3366 W",2013-10-25
"day0_B10.AE121_052214DR16s-Sam851-925-pr_filt","day0_B10.AE121","AE121","AE","121","51.79706 N 0.56418 W",2013-11-21
"day0_B10.AE153_052214DR16s-Sam551-625-pr_filt","day0_B10.AE153","AE153","AE","153","51.79681 N 0.56245 W",2013-11-21
