sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment
WiW18.4	NA	NA	NA	4	NA	WiW18	GreenbroomCovert	7D_rep4
WiW19.1	NA	NA	NA	1	NA	WiW19	GreenbroomCovert	7D_rep1
WiW19.2	NA	NA	NA	2	NA	WiW19	GreenbroomCovert	7D_rep2
WiW19.3	NA	NA	NA	3	NA	WiW19	GreenbroomCovert	7D_rep3
WiW19.4	NA	NA	NA	4	NA	WiW19	GreenbroomCovert	7D_rep4
WiW20.1	NA	NA	NA	1	NA	WiW20	GreenbroomCovert	7D_rep1
WiW20.2	NA	NA	NA	2	NA	WiW20	GreenbroomCovert	7D_rep2
WiW20.3	NA	NA	NA	3	NA	WiW20	GreenbroomCovert	7D_rep3
WiW20.4	NA	NA	NA	4	NA	WiW20	GreenbroomCovert	7D_rep4
WiW21.1	NA	NA	NA	1	NA	WiW21	GreenbroomCovert	7D_rep1
WiW21.2	NA	NA	NA	2	NA	WiW21	GreenbroomCovert	7D_rep2
WiW21.3	NA	NA	NA	3	NA	WiW21	GreenbroomCovert	7D_rep3
WiW21.4	NA	NA	NA	4	NA	WiW21	GreenbroomCovert	7D_rep4
WiW22.1	NA	NA	NA	1	NA	WiW22	GreenbroomCovert	7D_rep1
WiW22.2	NA	NA	NA	2	NA	WiW22	GreenbroomCovert	7D_rep2
WiW22.3	NA	NA	NA	3	NA	WiW22	GreenbroomCovert	7D_rep3
WiW22.4	NA	NA	NA	4	NA	WiW22	GreenbroomCovert	7D_rep4
WiW23.1	NA	NA	NA	1	NA	WiW23	GreenbroomCovert	7D_rep1
WiW23.2	NA	NA	NA	2	NA	WiW23	GreenbroomCovert	7D_rep2
WiW23.3	NA	NA	NA	3	NA	WiW23	GreenbroomCovert	7D_rep3
WiW23.4	NA	NA	NA	4	NA	WiW23	GreenbroomCovert	7D_rep4
WiW24.1	NA	NA	NA	1	NA	WiW24	GreenbroomCovert	7D_rep1
WiW24.2	NA	NA	NA	2	NA	WiW24	GreenbroomCovert	7D_rep2
WiW24.3	NA	NA	NA	3	NA	WiW24	GreenbroomCovert	7D_rep3
WiW24.4	NA	NA	NA	4	NA	WiW24	GreenbroomCovert	7D_rep4
WiW25.1	NA	NA	NA	1	NA	WiW25	GreenbroomCovert	7D_rep1
WiW25.2	NA	NA	NA	2	NA	WiW25	GreenbroomCovert	7D_rep2
WiW25.3	NA	NA	NA	3	NA	WiW25	GreenbroomCovert	7D_rep3
WiW25.4	NA	NA	NA	4	NA	WiW25	GreenbroomCovert	7D_rep4
WiW26.1	NA	NA	NA	1	NA	WiW26	GreenbroomCovert	7D_rep1
WiW26.2	NA	NA	NA	2	NA	WiW26	GreenbroomCovert	7D_rep2
WiW26.3	NA	NA	NA	3	NA	WiW26	GreenbroomCovert	7D_rep3
WiW26.4	NA	NA	NA	4	NA	WiW26	GreenbroomCovert	7D_rep4
WiW27.1	NA	NA	NA	1	NA	WiW27	GreenbroomCovert	7D_rep1
WiW27.2	NA	NA	NA	2	NA	WiW27	GreenbroomCovert	7D_rep2
WiW27.3	NA	NA	NA	3	NA	WiW27	GreenbroomCovert	7D_rep3
WiW27.4	NA	NA	NA	4	NA	WiW27	GreenbroomCovert	7D_rep4
WiW28.1	NA	NA	NA	1	NA	WiW28	GreenbroomCovert	7D_rep1
WiW28.2	NA	NA	NA	2	NA	WiW28	GreenbroomCovert	7D_rep2
WiW28.3	NA	NA	NA	3	NA	WiW28	GreenbroomCovert	7D_rep3
WiW28.4	NA	NA	NA	4	NA	WiW28	GreenbroomCovert	7D_rep4
WiW29.1	NA	NA	NA	1	NA	WiW29	GreenbroomCovert	7D_rep1
WiW29.2	NA	NA	NA	2	NA	WiW29	GreenbroomCovert	7D_rep2
WiW29.3	NA	NA	NA	3	NA	WiW29	GreenbroomCovert	7D_rep3
WiW29.4	NA	NA	NA	4	NA	WiW29	GreenbroomCovert	7D_rep4
WiW30.1	NA	NA	NA	1	NA	WiW30	GreenbroomCovert	7D_rep1
WiW30.2	NA	NA	NA	2	NA	WiW30	GreenbroomCovert	7D_rep2
WiW30.3	NA	NA	NA	3	NA	WiW30	GreenbroomCovert	7D_rep3
WiW30.4	NA	NA	NA	4	NA	WiW30	GreenbroomCovert	7D_rep4
WiW31.1	NA	NA	NA	1	NA	WiW31	GreenbroomCovert	7D_rep1
WiW31.2	NA	NA	NA	2	NA	WiW31	GreenbroomCovert	7D_rep2
WiW31.3	NA	NA	NA	3	NA	WiW31	GreenbroomCovert	7D_rep3
WiW31.4	NA	NA	NA	4	NA	WiW31	GreenbroomCovert	7D_rep4
WiW32.1	NA	NA	NA	1	NA	WiW32	GreenbroomCovert	7D_rep1
WiW32.2	NA	NA	NA	2	NA	WiW32	GreenbroomCovert	7D_rep2
WiW32.3	NA	NA	NA	3	NA	WiW32	GreenbroomCovert	7D_rep3
WiW32.4	NA	NA	NA	4	NA	WiW32	GreenbroomCovert	7D_rep4
WiW33.1	NA	NA	NA	1	NA	WiW33	GreenbroomCovert	7D_rep1
WiW33.2	NA	NA	NA	2	NA	WiW33	GreenbroomCovert	7D_rep2
WiW33.3	NA	NA	NA	3	NA	WiW33	GreenbroomCovert	7D_rep3
WiW33.4	NA	NA	NA	4	NA	WiW33	GreenbroomCovert	7D_rep4
WiW34.1	NA	NA	NA	1	NA	WiW34	GreenbroomCovert	7D_rep1
WiW34.2	NA	NA	NA	2	NA	WiW34	GreenbroomCovert	7D_rep2
WiW34.3	NA	NA	NA	3	NA	WiW34	GreenbroomCovert	7D_rep3
WiW34.4	NA	NA	NA	4	NA	WiW34	GreenbroomCovert	7D_rep4
WiW35.1	NA	NA	NA	1	NA	WiW35	GreenbroomCovert	7D_rep1
WiW35.2	NA	NA	NA	2	NA	WiW35	GreenbroomCovert	7D_rep2
WiW35.3	NA	NA	NA	3	NA	WiW35	GreenbroomCovert	7D_rep3
WiW35.4	NA	NA	NA	4	NA	WiW35	GreenbroomCovert	7D_rep4
WiW36.1	NA	NA	NA	1	NA	WiW36	GreenbroomCovert	7D_rep1
WiW36.2	NA	NA	NA	2	NA	WiW36	GreenbroomCovert	7D_rep2
WiW36.3	NA	NA	NA	3	NA	WiW36	GreenbroomCovert	7D_rep3
WiW36.4	NA	NA	NA	4	NA	WiW36	GreenbroomCovert	7D_rep4
WiW37.1	NA	NA	NA	1	NA	WiW37	GreenbroomCovert	7D_rep1
WiW37.2	NA	NA	NA	2	NA	WiW37	GreenbroomCovert	7D_rep2
WiW37.3	NA	NA	NA	3	NA	WiW37	GreenbroomCovert	7D_rep3
WiW37.4	NA	NA	NA	4	NA	WiW37	GreenbroomCovert	7D_rep4
WiW38.1	NA	NA	NA	1	NA	WiW38	GreenbroomCovert	7D_rep1
WiW38.2	NA	NA	NA	2	NA	WiW38	GreenbroomCovert	7D_rep2
WiW38.3	NA	NA	NA	3	NA	WiW38	GreenbroomCovert	7D_rep3
WiW38.4	NA	NA	NA	4	NA	WiW38	GreenbroomCovert	7D_rep4
WiW39.1	NA	NA	NA	1	NA	WiW39	GreenbroomCovert	7D_rep1
WiW39.2	NA	NA	NA	2	NA	WiW39	GreenbroomCovert	7D_rep2
WiW39.3	NA	NA	NA	3	NA	WiW39	GreenbroomCovert	7D_rep3
WiW39.4	NA	NA	NA	4	NA	WiW39	GreenbroomCovert	7D_rep4
WiW40.1	NA	NA	NA	1	NA	WiW40	GreenbroomCovert	7D_rep1
WiW40.2	NA	NA	NA	2	NA	WiW40	GreenbroomCovert	7D_rep2
WiW40.3	NA	NA	NA	3	NA	WiW40	GreenbroomCovert	7D_rep3
WiW40.4	NA	NA	NA	4	NA	WiW40	GreenbroomCovert	7D_rep4
WiW41.1	NA	NA	NA	1	NA	WiW41	GreenbroomCovert	7D_rep1
WiW41.2	NA	NA	NA	2	NA	WiW41	GreenbroomCovert	7D_rep2
WiW41.3	NA	NA	NA	3	NA	WiW41	GreenbroomCovert	7D_rep3
WiW41.4	NA	NA	NA	4	NA	WiW41	GreenbroomCovert	7D_rep4
WiW42.1	NA	NA	NA	1	NA	WiW42	GreenbroomCovert	7D_rep1
WiW42.2	NA	NA	NA	2	NA	WiW42	GreenbroomCovert	7D_rep2
WiW42.3	NA	NA	NA	3	NA	WiW42	GreenbroomCovert	7D_rep3
WiW42.4	NA	NA	NA	4	NA	WiW42	GreenbroomCovert	7D_rep4
WiW43.1	NA	NA	NA	1	NA	WiW43	GreenbroomCovert	7D_rep1
WiW43.2	NA	NA	NA	2	NA	WiW43	GreenbroomCovert	7D_rep2
WiW43.3	NA	NA	NA	3	NA	WiW43	GreenbroomCovert	7D_rep3
WiW43.4	NA	NA	NA	4	NA	WiW43	GreenbroomCovert	7D_rep4
WiW44.1	NA	NA	NA	1	NA	WiW44	GreenbroomCovert	7D_rep1
WiW44.2	NA	NA	NA	2	NA	WiW44	GreenbroomCovert	7D_rep2
