sampleid,parent,replicate,replicate.partition,partition,Location,Time
BCW08,BCW08,0,0.6,6,BirchcleaveWood,Starting
BCW09,BCW09,0,0.5,5,AshCopse,Starting
BCW10,BCW10,0,0.5,5,AshCopse,Starting
BCW11,BCW11,0,0.1,1,AshCopse,Starting
BCW12,BCW12,0,0.2,2,AshCopse,Starting
BCW13,BCW13,0,0.6,6,AshCopse,Starting
BCW14,BCW14,0,0.5,5,AshCopse,Starting
BCW15,BCW15,0,0.6,6,AshCopse,Starting
BCW16,BCW16,0,0.6,6,AshCopse,Starting
BCW17,BCW17,0,0.2,2,AshCopse,Starting
BCW18,BCW18,0,0.6,6,AshCopse,Starting
BCW19,BCW19,0,0.2,2,AshCopse,Starting
BCW20,BCW20,0,0.5,5,AshCopse,Starting
BCW21,BCW21,0,0.6,6,AshCopse,Starting
BCW22,BCW22,0,0.5,5,AshCopse,Starting
BCW23,BCW23,0,0.6,6,AshCopse,Starting
BCW24,BCW24,0,0.6,6,AshCopse,Starting
BCW25,BCW25,0,0.6,6,AshCopse,Starting
BCW26,BCW26,0,0.5,5,AshCopse,Starting
BW01,BW01,0,0.3,3,BishamWoods,Starting
BW02,BW02,0,0.3,3,BishamWoods,Starting
BW03,BW03,0,0.3,3,BishamWoods,Starting
BW04,BW04,0,0.3,3,BishamWoods,Starting
BW05,BW05,0,0.3,3,BishamWoods,Starting
BW06,BW06,0,0.3,3,BishamWoods,Starting
BW07,BW07,0,0.3,3,BishamWoods,Starting
BW08,BW08,0,0.3,3,BishamWoods,Starting
BW09,BW09,0,0.3,3,BishamWoods,Starting
BW10,BW10,0,0.3,3,BishamWoods,Starting
BW11,BW11,0,0.3,3,BishamWoods,Starting
BW12,BW12,0,0.3,3,BishamWoods,Starting
BW13,BW13,0,0.3,3,BishamWoods,Starting
BW14,BW14,0,0.3,3,BishamWoods,Starting
BW15,BW15,0,0.3,3,BishamWoods,Starting
BW16,BW16,0,0.3,3,BishamWoods,Starting
BW17,BW17,0,0.3,3,BishamWoods,Starting
BW18,BW18,0,0.3,3,BishamWoods,Starting
BW19,BW19,0,0.3,3,BishamWoods,Starting
BW20,BW20,0,0.3,3,BishamWoods,Starting
BW21,BW21,0,0.3,3,BishamWoods,Starting
BW22,BW22,0,0.3,3,BishamWoods,Starting
BW23,BW23,0,0.3,3,BishamWoods,Starting
BW24,BW24,0,0.3,3,BishamWoods,Starting
BWd01,BWd01,0,0.3,3,BeechWood,Starting
BWd01.1,BWd01,1,1.1,1,BeechWood,Final
BWd01.2,BWd01,2,2.1,1,BeechWood,Final
BWd01.3,BWd01,3,3.1,1,BeechWood,Final
BWd01.4,BWd01,4,4.1,1,BeechWood,Final
BWd02,BWd02,0,0.3,3,BeechWood,Starting
BWd02.1,BWd02,1,1.1,1,BeechWood,Final
BWd02.2,BWd02,2,2.1,1,BeechWood,Final
BWd02.3,BWd02,3,3.1,1,BeechWood,Final
BWd02.4,BWd02,4,4.1,1,BeechWood,Final
BWd03,BWd03,0,0.3,3,BeechWood,Starting
BWd03.1,BWd03,1,1.1,1,BeechWood,Final
BWd03.2,BWd03,2,2.1,1,BeechWood,Final
BWd03.3,BWd03,3,3.1,1,BeechWood,Final
BWd03.4,BWd03,4,4.1,1,BeechWood,Final
BWd04,BWd04,0,0.1,1,BeechWood,Starting
BWd04.1,BWd04,1,1.1,1,BeechWood,Final
BWd04.2,BWd04,2,2.1,1,BeechWood,Final
BWd04.3,BWd04,3,3.1,1,BeechWood,Final
BWd04.4,BWd04,4,4.1,1,BeechWood,Final
BWd05,BWd05,0,0.5,5,BeechWood,Starting
BWd05.1,BWd05,1,1.1,1,BeechWood,Final
BWd05.2,BWd05,2,2.1,1,BeechWood,Final
BWd05.3,BWd05,3,3.1,1,BeechWood,Final
BWd05.4,BWd05,4,4.1,1,BeechWood,Final
BWd06,BWd06,0,0.5,5,BeechWood,Starting
BWd06.1,BWd06,1,1.1,1,BeechWood,Final
BWd06.2,BWd06,2,2.1,1,BeechWood,Final
BWd06.3,BWd06,3,3.1,1,BeechWood,Final
BWd06.4,BWd06,4,4.1,1,BeechWood,Final
BWd07,BWd07,0,0.3,3,BeechWood,Starting
BWd07.1,BWd07,1,1.1,1,BeechWood,Final
BWd07.2,BWd07,2,2.1,1,BeechWood,Final
BWd07.3,BWd07,3,3.1,1,BeechWood,Final
BWd07.4,BWd07,4,4.2,2,BeechWood,Final
HW01,HW01,0,0.3,3,HuntsWoods,Starting
HW02,HW02,0,0.3,3,HuntsWoods,Starting
HW03,HW03,0,0.3,3,HuntsWoods,Starting
HW04,HW04,0,0.3,3,HuntsWoods,Starting
HW05,HW05,0,0.3,3,HuntsWoods,Starting
HW06,HW06,0,0.3,3,HuntsWoods,Starting
HW07,HW07,0,0.3,3,HuntsWoods,Starting
HW08,HW08,0,0.3,3,HuntsWoods,Starting
HW09,HW09,0,0.3,3,HuntsWoods,Starting
HW10,HW10,0,0.3,3,HuntsWoods,Starting
HW11,HW11,0,0.3,3,HuntsWoods,Starting
HW12,HW12,0,0.3,3,HuntsWoods,Starting
HW13,HW13,0,0.3,3,HuntsWoods,Starting
HW14,HW14,0,0.3,3,HuntsWoods,Starting
HW15,HW15,0,0.3,3,HuntsWoods,Starting
HW16,HW16,0,0.3,3,HuntsWoods,Starting
LW01,LW01,0,0.3,3,LongWood,Starting
LW01.1,LW01,1,1.1,1,LongWood,Final
LW01.2,LW01,2,2.1,1,LongWood,Final
LW01.3,LW01,3,3.1,1,LongWood,Final
LW01.4,LW01,4,4.1,1,LongWood,Final
LW02,LW02,0,0.5,5,LongWood,Starting
LW02.1,LW02,1,1.1,1,LongWood,Final
LW02.2,LW02,2,2.1,1,LongWood,Final
LW02.3,LW02,3,3.1,1,LongWood,Final
LW02.4,LW02,4,4.1,1,LongWood,Final
LW03,LW03,0,0.3,3,LongWood,Starting
LW03.1,LW03,1,1.1,1,LongWood,Final
LW03.2,LW03,2,2.1,1,LongWood,Final
LW03.3,LW03,3,3.1,1,LongWood,Final
LW03.4,LW03,4,4.1,1,LongWood,Final
LW04,LW04,0,0.1,1,LongWood,Starting
LW04.1,LW04,1,1.1,1,LongWood,Final
LW04.2,LW04,2,2.1,1,LongWood,Final
LW04.3,LW04,3,3.1,1,LongWood,Final
LW04.4,LW04,4,4.1,1,LongWood,Final
LW05,LW05,0,0.1,1,LongWood,Starting
LW05.1,LW05,1,1.1,1,LongWood,Final
LW05.2,LW05,2,2.1,1,LongWood,Final
LW05.3,LW05,3,3.1,1,LongWood,Final
LW05.4,LW05,4,4.1,1,LongWood,Final
LW06,LW06,0,0.3,3,LongWood,Starting
LW06.1,LW06,1,1.1,1,LongWood,Final
LW06.2,LW06,2,2.1,1,LongWood,Final
LW06.3,LW06,3,3.1,1,LongWood,Final
