sample	Centroid1.1	Centroid1.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC1.1	minDistToBdC1.1	meanDistToBdC1.1	diffDistToBdC1.1	diffDistRelToBdC1.1	id.DmaxToBdC1.1	id.DminToBdC1.1	maxDistToBdC1.2	minDistToBdC1.2	meanDistToBdC1.2	diffDistToBdC1.2	diffDistRelToBdC1.2	id.DmaxToBdC1.2	id.DminToBdC1.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class
WiW38	0.475198729332366	0.785920123983541	0.785920123983541	0.475198729332366	0.630559426657953	0.310721394651175	0.492770992732658	Centroid1.2	Centroid1.1	0.826640234159312	0.384676375543364	0.654356035562551	0.441963858615948	0.67541802107165	WEL12.1	WiW38.1	0.827332869593985	0.680729318723916	0.794309659011277	0.146603550870068	0.184567251835454	WEL23.1	SAC02.1	0.680729318723916	0.384676375543364	0.53270284713364	0.296052943180552	0.769615609386905	WiW38.1	SAC02.1	C1	C2	4	1
WiW40	0.48613315045279	0.779455032046897	0.779455032046897	0.48613315045279	0.632794091249843	0.293321881594107	0.463534482464527	Centroid1.2	Centroid1.1	0.825027689500537	0.35171831378059	0.66083796165884	0.473309375719947	0.716226069295176	WEL14.1	WiW40.1	0.825569924638501	0.675146821819287	0.795780628888843	0.150423102819214	0.189025841241262	BB58.1	SAC02.1	0.675146821819287	0.35171831378059	0.513432567799939	0.323428508038697	0.919566867480376	WiW40.1	SAC02.1	C1	C2	4	1
WiW41	0.568183055358551	0.786865848915929	0.786865848915929	0.568183055358551	0.67752445213724	0.218682793557378	0.322767381852488	Centroid1.2	Centroid1.1	0.822662971522265	0.457626227524801	0.685248566355218	0.365036743997464	0.532707052477416	BB88.1	WP09.1	0.823864036123797	0.669412225951941	0.794994970016878	0.154451810171855	0.194280235720958	AE148.1	WP12.1	0.669412225951941	0.457626227524801	0.563519226738371	0.21178599842714	0.462792527370304	WP09.1	WP12.1	C1	C2	2	none
WiW43	0.570176181586786	0.789248209426886	0.789248209426886	0.570176181586786	0.679712195506836	0.2190720278401	0.322301158178787	Centroid1.2	Centroid1.1	0.8251576795357	0.373186447086827	0.681151556058491	0.451971232448873	0.663539895679342	WEL12.1	WiW43.1	0.824041777994112	0.706077442424073	0.794369698606417	0.117964335570039	0.148500548015599	AE148.1	BB61.1	0.706077442424073	0.373186447086827	0.53963194475545	0.332890995337245	0.892023271305438	WiW43.1	BB61.1	C1	C2	2	none
WiW44	0.520059356814671	0.77927793868157	0.77927793868157	0.520059356814671	0.64966864774812	0.259218581866899	0.399001218183149	Centroid1.2	Centroid1.1	0.825094679838943	0.278848673713096	0.656726833270217	0.546246006125848	0.831770499472022	WEL12.1	WiW44.1	0.823527920207249	0.61986232568628	0.789701231623706	0.203665594520969	0.257902085453522	AE148.1	WiW18.1	0.61986232568628	0.278848673713096	0.449355499699688	0.341013651973185	1.22293445915418	WiW44.1	WiW18.1	C1	C2	2	none
WiW45	0.570450855091409	0.781866408034897	0.781866408034897	0.570450855091409	0.676158631563153	0.211415552943488	0.312671528654059	Centroid1.2	Centroid1.1	0.822096771004128	0.381242640244072	0.672546866720247	0.440854130760056	0.655499493901343	BB88.1	WiW45.1	0.824189748390654	0.688558581625766	0.788800858897414	0.135631166764888	0.171946018104587	AE148.1	WiW18.1	0.688558581625766	0.381242640244072	0.534900610934919	0.307315941381694	0.806090161333869	WiW45.1	WiW18.1	C1	C2	2	none
WiW46	0.770626380437012	0.81499302117846	0.81499302117846	0.770626380437012	0.792809700807736	0.0443666407414482	0.0559612738040999	Centroid1.2	Centroid1.1	0.828928637871012	0.360436377085249	0.786403895314533	0.468492260785764	0.595740005329429	WEL12.1	WiW46.1	0.82734755780644	0.730376279542096	0.814555469805326	0.0969712782643447	0.119048096610928	AE148.1	BB18.1	0.730376279542096	0.360436377085249	0.545406328313672	0.369939902456847	1.02636672094102	WiW46.1	BB18.1	C1	C2	2	none
WiW47	0.650575279610632	0.78867482474021	0.78867482474021	0.650575279610632	0.719625052175421	0.138099545129578	0.191904860332619	Centroid1.2	Centroid1.1	0.820347664821174	0.505805614849489	0.722244132837467	0.314542049971685	0.435506549199575	WEL12.1	WiW47.1	0.823531056998635	0.700355848373602	0.787166666670274	0.123175208625033	0.156479197913786	AE148.1	CHE11.1	0.700355848373602	0.505805614849489	0.603080731611546	0.194550233524113	0.38463438880963	WiW47.1	CHE11.1	C1	C2	2	none
WiW48	0.466267371488547	0.767483115873752	0.767483115873752	0.466267371488547	0.616875243681149	0.301215744385204	0.488292807128594	Centroid1.2	Centroid1.1	0.813132682105342	0.320064357291763	0.635964523278286	0.493068324813579	0.775307909114015	WYC41.1	WiW48.1	0.821614298865295	0.615035324761765	0.778201962192559	0.20657897410353	0.265456763333647	AE148.1	WiW18.1	0.615035324761765	0.320064357291763	0.467549841026764	0.294970967470002	0.921598924559766	WiW48.1	WiW18.1	C1	C2	2	none
WiW49	0.743391938926166	0.805368982866698	0.805368982866698	0.743391938926166	0.774380460896432	0.0619770439405328	0.0800343591686023	Centroid1.2	Centroid1.1	0.830370131945225	0.285126174192852	0.761966476117092	0.545243957752373	0.715574733065533	WEL12.1	AE116.1	0.829418666262658	0.653495344221279	0.801552037699809	0.175923322041379	0.219478354201707	SAC15.1	PH02.1	0.653495344221279	0.285126174192852	0.469310759207066	0.368369170028428	1.29195143543459	AE116.1	PH02.1	C1	C2	4	1
