id.DminToC	id.DminToBdC3.1	id.DminToBdC3.2	id.minDistToBd	id.class.minDistToBd	Class
Centroid3.1	WYT17.3	SAC06.3	WYT17.3	C1	1
Centroid3.1	WYT19.3	CHE04.3	WYT19.3	C1	1
Centroid3.1	WYT20.3	CHE04.3	WYT20.3	C1	1
Centroid3.1	WYT21.3	BB32.3	WYT21.3	C1	1
Centroid3.1	WYT35.3	BB32.3	WYT35.3	C1	1
Centroid3.1	WYT23.3	CHE04.3	WYT23.3	C1	1
Centroid3.1	WYT55.3	CHE04.3	WYT55.3	C1	1
Centroid3.1	WYT25.3	CHE04.3	WYT25.3	C1	1
Centroid3.1	WYT26.3	BB32.3	WYT26.3	C1	1
Centroid3.1	WYT27.3	BB32.3	WYT27.3	C1	1
Centroid3.1	WYT94.3	CHE04.3	WYT94.3	C1	1
Centroid3.1	WYT29.3	CHE04.3	WYT29.3	C1	1
Centroid3.1	BWd05.3	SP01.3	BWd05.3	C1	none
Centroid3.1	WYT31.3	CHE04.3	WYT31.3	C1	none
Centroid3.1	WYT95.3	BB32.3	WYT95.3	C1	none
Centroid3.1	WYT33.3	CHE04.3	WYT33.3	C1	1
Centroid3.1	WYT41.3	BB16.3	WYT41.3	C1	1
Centroid3.1	WYT36.3	CHE04.3	WYT36.3	C1	1
Centroid3.1	WYT37.3	CHE04.3	WYT37.3	C1	1
Centroid3.1	WYT38.3	SAC06.3	WYT38.3	C1	1
Centroid3.1	WYT39.3	CHE04.3	WYT39.3	C1	1
Centroid3.1	WYT40.3	SP01.3	WYT40.3	C1	1
Centroid3.1	WYT41.3	SP01.3	WYT41.3	C1	1
Centroid3.1	WYT42.3	WiW42.3	WYT42.3	C1	1
Centroid3.1	WYT43.3	CHE02.3	WYT43.3	C1	1
Centroid3.1	WiW37.3	BB26.3	WiW37.3	C1	1
Centroid3.1	WYT45.3	BB32.3	WYT45.3	C1	1
Centroid3.1	WYT46.3	SAC06.3	WYT46.3	C1	1
Centroid3.1	WYT47.3	CHE10.3	WYT47.3	C1	1
Centroid3.1	WYT48.3	SP01.3	WYT48.3	C1	1
Centroid3.1	WYT31.3	CHE04.3	WYT31.3	C1	1
Centroid3.1	WYT50.3	CHE04.3	WYT50.3	C1	1
Centroid3.1	WYT51.3	CHE12.3	WYT51.3	C1	1
Centroid3.1	WYT52.3	BB32.3	WYT52.3	C1	1
Centroid3.1	WYT53.3	SP01.3	WYT53.3	C1	1
Centroid3.1	WYT54.3	BB32.3	WYT54.3	C1	1
Centroid3.1	WYT55.3	BB61.3	WYT55.3	C1	1
Centroid3.1	WYT31.3	CHE04.3	WYT31.3	C1	1
Centroid3.1	WYT57.3	BB32.3	WYT57.3	C1	1
Centroid3.1	WYT58.3	BB61.3	WYT58.3	C1	1
Centroid3.1	WYT59.3	BB61.3	WYT59.3	C1	1
Centroid3.1	WYT60.3	CHE04.3	WYT60.3	C1	1
Centroid3.1	WYT61.3	CHE04.3	WYT61.3	C1	1
Centroid3.1	WYT09.3	WP15.3	WYT09.3	C1	1
Centroid3.1	WYT09.3	WP15.3	WYT09.3	C1	1
Centroid3.1	WYT09.3	WP15.3	WYT09.3	C1	1
