sample	Centroid4.1	Centroid4.2	maxDistToC	minDistToC	meanDistToC	diffDistToC	diffDistRelToC	id.DmaxToC	id.DminToC	maxDistToBdC4.1	minDistToBdC4.1	meanDistToBdC4.1	diffDistToBdC4.1	diffDistRelToBdC4.1	id.DmaxToBdC4.1	id.DminToBdC4.1	maxDistToBdC4.2	minDistToBdC4.2	meanDistToBdC4.2	diffDistToBdC4.2	diffDistRelToBdC4.2	id.DmaxToBdC4.2	id.DminToBdC4.2	maxDistToBd	minDistToBd	meanDistToBd	diffDistToBd	diffRelDistToBd	id.minDistToBd	id.maxDistToBd	id.class.minDistToBd	id.class.maxDistToBd	Nsame.class	Class	Converge
WEL16	0.796949229112376	0.801404622083356	0.801404622083356	0.796949229112376	0.799176925597866	0.00445539297097941	0.00557497698979024	Centroid4.2	Centroid4.1	0.824003691719711	0.686431321028184	0.804971219670379	0.137572370691527	0.170903465030539	AE155.4	WYM39.4	0.826334778285688	0.704590681199692	0.792914576189339	0.121744097085996	0.153539991244813	BB88.4	BB06.4	0.704590681199692	0.686431321028184	0.695511001113938	0.0181593601715077	0.0264547371531755	WYM39.4	BB06.4	C1	C2	3	2	0
WEL17	0.787953575444834	0.789042491689114	0.789042491689114	0.787953575444834	0.788498033566974	0.00108891624427998	0.00138100058329123	Centroid4.2	Centroid4.1	0.822730932718287	0.685656790957914	0.799309879354047	0.137074141760373	0.171490613716858	AE155.4	WYM39.4	0.822990405039472	0.702859567088234	0.785685543196122	0.120130837951238	0.152899387027733	BB88.4	BB06.4	0.702859567088234	0.685656790957914	0.694258179023074	0.0172027761303203	0.0250894855227595	WYM39.4	BB06.4	C1	C2	4	2	1
WEL18	0.818338413131784	0.806385906749312	0.818338413131784	0.806385906749312	0.812362159940548	0.0119525063824717	0.0147132731826731	Centroid4.1	Centroid4.2	0.829261613941366	0.437491783603414	0.816727261590123	0.391769830337953	0.479682568174838	AE155.4	BB30.4	0.82884205882128	0.399236007818104	0.762532971334582	0.429606051003176	0.563393410059739	BB88.4	WiW22.4	0.437491783603414	0.399236007818104	0.418363895710759	0.0382557757853098	0.095822458486108	WiW22.4	BB30.4	C2	C1	4	2	1
WEL20	0.820110614957831	0.806029274932046	0.820110614957831	0.806029274932046	0.813069944944938	0.0140813400257844	0.0173187314490367	Centroid4.1	Centroid4.2	0.827591827362648	0.587573487437499	0.81759353841625	0.240018339925149	0.293566825870573	OWW15.4	CHE07.4	0.82841795001036	0.330308137264996	0.747283405440006	0.498109812745364	0.666560784194148	WEL02.4	BB40.4	0.587573487437499	0.330308137264996	0.458940812351248	0.257265350172503	0.778864705855269	BB40.4	CHE07.4	C2	C1	4	2	1
WEL22	0.783585010535908	0.790808087459131	0.790808087459131	0.783585010535908	0.787196548997519	0.00722307692322266	0.00917569688589351	Centroid4.2	Centroid4.1	0.822301157949277	0.459784654241767	0.79592290314012	0.36251650370751	0.455466857753797	AE198.4	BB30.4	0.830033819963584	0.43846088937766	0.758630010285403	0.391572930585925	0.516157975926383	WEL02.4	WiW22.4	0.459784654241767	0.43846088937766	0.449122771809713	0.0213237648641071	0.0486332199306841	WiW22.4	BB30.4	C2	C1	4	2	1
WEL23	0.780434390818464	0.78341613158448	0.78341613158448	0.780434390818464	0.781925261201472	0.00298174076601576	0.00381333218654958	Centroid4.2	Centroid4.1	0.817273486005439	0.645494027802349	0.791366847957968	0.171779458203091	0.21706678596197	AE155.4	BB30.4	0.819695576589887	0.636801938231428	0.769197991268265	0.182893638358459	0.237771861646312	WEL02.4	WEL15.4	0.645494027802349	0.636801938231428	0.641147983016888	0.00869208957092094	0.0136495965999432	WEL15.4	BB30.4	C2	C1	4	2	1
WEL24	0.765405373826574	0.739217099398893	0.765405373826574	0.739217099398893	0.752311236612734	0.0261882744276812	0.0348104257296401	Centroid4.1	Centroid4.2	0.812820517032955	0.65056361628825	0.781026373811855	0.162256900744705	0.207748299142318	WYC15.4	WYM39.4	0.813568435920489	0.650641387259568	0.748377077468088	0.162927048660921	0.217707160689818	BB88.4	WEL08.4	0.650641387259568	0.65056361628825	0.650602501773909	7.777097131767e-05	0.000119543991349205	WYM39.4	WEL08.4	C1	C2	4	2	1
WEL25	0.811888166521308	0.804225567246079	0.811888166521308	0.804225567246079	0.808056866883693	0.00766259927522894	0.00948274755065209	Centroid4.1	Centroid4.2	0.825015103002977	0.588817183192585	0.813373797774575	0.236197919810392	0.290392831016489	AE155.4	CHE07.4	0.828086034733418	0.402093295491967	0.767607500523103	0.42599273924145	0.554961668497439	WEL02.4	BB40.4	0.588817183192585	0.402093295491967	0.495455239342276	0.186723887700617	0.464379510412273	BB40.4	CHE07.4	C2	C1	3	2	0
WEL26	0.731707376956813	0.771235509190378	0.771235509190378	0.731707376956813	0.751471443073596	0.0395281322335652	0.0526009771866926	Centroid4.2	Centroid4.1	0.806761341964527	0.477009953987496	0.758164486112608	0.329751387977031	0.434933835621593	AE198.4	CHE03.4	0.816820746469356	0.454094977842005	0.761824328301158	0.362725768627352	0.476127835712752	WEL14.4	WEL26.4	0.477009953987496	0.454094977842005	0.46555246591475	0.022914976145491	0.0504629587721711	WEL26.4	CHE03.4	C2	C1	3	2	0
WF01	0.513115736562	0.787060626616182	0.787060626616182	0.513115736562	0.650088181589091	0.273944890054183	0.421396508677554	Centroid4.2	Centroid4.1	0.802091564555623	0.464779381491388	0.626059040302668	0.337312183064235	0.538786538249111	AE198.4	BWd06.4	0.827700913019043	0.658935925287111	0.787779112809322	0.168764987731932	0.214228817428396	WEL07.4	BB16.4	0.658935925287111	0.464779381491388	0.56185765338925	0.194156543795723	0.417739150073121	BWd06.4	BB16.4	C1	C2	4	1	1
