EC	Final.Rep1.Class1	Final.Rep1.Class2	Final.Rep2.Class1	Final.Rep2.Class2	Final.Rep3.Class1	Final.Rep3.Class2	Final.Rep4.Class1	Final.Rep4.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
2.7.8.26	0.000668931309311504	0.000725778611046193	0.000677214791337023	0.000751785799638054	0.000679624350154195	0.000734746930617077	0.000661741800356392	0.000739573751375861	0.00063161801890115	0.000751503575161189	0.000736461448526923	0.000739511840828747	0.000900238508055097
2.7.8.28	9.44782056473185e-06	4.1930867710928e-05	6.12894824597106e-06	4.40744641594947e-05	5.71521309643292e-06	2.3090950087643e-05	8.80939001455379e-06	3.6412306124366e-05	1.018972580896e-05	4.97631906820075e-05	5.74927839501471e-05	1.21437515478284e-05	5.18985455377298e-05
2.7.8.31	2.59807736437801e-05	5.34197005802429e-06	2.5551840843511e-05	6.34795333706666e-06	2.36690470904233e-05	5.38009200731481e-06	2.85216184072931e-05	6.25055390737562e-06	1.76888990148948e-05	8.77103980770931e-06	1.18870970560337e-05	2.89112916818018e-05	2.73392090293225e-06
2.7.8.33	0.000386610586049105	0.000343689767688914	0.000395120847528764	0.000338690441002965	0.000405374736064199	0.000413902765393018	0.000402550698434402	0.00032055044515078	0.000406480872754686	0.000401062383005368	0.000330950553184574	0.000341553723268856	0.000805546918356934
2.7.8.34	4.16294840181603e-08	3.43903442852875e-06	1.07031684706548e-07	1.31499960311574e-06	7.54593111424048e-08	8.3360960801923e-07	1.28014241393043e-07	1.05948385424714e-06	1.90756462504309e-09	1.51530105068107e-08	0	3.21459439964679e-09	9.66392646836188e-08
2.7.8.36	0	5.34369116342183e-10	0	2.08011484214325e-08	0	3.11300766414991e-07	3.27540218455977e-10	0	3.90898583391509e-08	2.58470475965916e-08	2.67061704811789e-08	2.4337241007359e-08	8.25946642249367e-09
2.7.8.37	0.00160836690265132	0.00066505426336571	0.00172648963427261	0.000677890032535077	0.00166233187541169	0.000607773245567086	0.00169577293111896	0.00066014751554342	0.00149352006997383	0.000955445048952359	0.000698660233906397	0.00135498998666078	0.000321361788773892
2.7.8.39	0	0	0	0	5.36992563990885e-09	0	0	0	3.40023074878299e-09	1.09108962235995e-08	4.92196724612924e-07	2.51931702986078e-08	0
2.7.8.41	0.000288118958914921	0.000741266565455081	0.00030173330980937	0.000713040856101014	0.000224260979777031	0.000615537741276897	0.000296266878332925	0.000774640277508444	0.000185108353627587	0.000313349395444442	0.000481039092001898	0.000218974761300755	0.000182166342099761
2.7.8.5	0.00103951027494597	0.00109371846121699	0.00103683386639362	0.00107954379232089	0.00106067180462222	0.00116966253805841	0.00103101920297099	0.001058115727349	0.00112222594599522	0.00131477068622223	0.00116533546257082	0.00111852405543842	0.00114735680526707
2.7.8.6	0.00017615564228618	5.26459547352359e-05	0.000173951392117183	4.31241504480161e-05	0.000194686727513827	4.870194226496e-05	0.000175794632317544	3.69674041759202e-05	0.000118744655582771	7.88704722790319e-05	3.59409356331703e-05	0.000220957073947504	3.71572016250058e-05
2.7.8.7	0.000611067038036961	0.000930916959164515	0.000615050695086801	0.000910170119971357	0.000571678793711141	0.000887385462564421	0.000622314515836373	0.000940270307015995	0.000562950648143519	0.00063966587648255	0.000700243707798541	0.000543057269837062	0.000849025785387681
2.7.8.8	0.00107191222245095	0.000978668607160179	0.00106775111905717	0.00100799529357712	0.00109801136728289	0.00103099983580517	0.00107097703861542	0.000984604098831007	0.0011591899761623	0.00116068949394675	0.00110261602953917	0.00109718065781967	0.00105767774779879
2.7.9.1	0.000209342375424397	0.000341182189417523	0.000216999291281921	0.000332620383454594	0.000163807122884677	0.000315915555131753	0.000214687560259424	0.000368965213785156	0.000154530558655615	0.000238537106738712	0.000328750173832374	0.000156488452991574	0.000134529904575424
2.7.9.2	0.000647428716184536	0.000617312268542429	0.000640072372712982	0.00063997349259535	0.00069125101730346	0.000657283192964194	0.000649373975250286	0.000622739654284991	0.000742852585850599	0.00063779297447827	0.000595029266849849	0.000724720634915015	0.00084963051915695
2.7.9.3	0.000540101039032577	0.000624962148552027	0.000538791503992803	0.000596470829592994	0.000570352369579628	0.0005863440365017	0.000531238673577253	0.000604351928214332	0.00051313702484784	0.000433009362985297	0.000523435100007236	0.000662682526952994	0.000802509885240345
2.8.1.1	0.00187629354345564	0.0013912839452843	0.00188795330355614	0.00134894217647399	0.00197847028680369	0.0013814217026513	0.00188548121053674	0.00132883424106037	0.00196910431767549	0.00158432240921227	0.00149810929511976	0.00196545079265461	0.00139379143114482
2.8.1.10	0.000822211428575983	0.000844849148709566	0.000805635678283945	0.000901297345842266	0.000839018079085894	0.000862369166670381	0.000826647726144454	0.000895027616285196	0.000882068378114113	0.000844161053172929	0.000815754494981723	0.000856429791266402	0.000934724717092499
2.8.1.12	0.000892574806964418	0.00101917467071638	0.000892513713256958	0.00101558428350149	0.000883917715573438	0.00102439424427857	0.000896523321023063	0.00102420122891932	0.000889193530518282	0.00101474622922653	0.000881628979830302	0.000865722131047505	0.000946793812139928
