sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched	ExpCompact	exp.replicate.partition	exp.partition	ancestral.class	Examples	startnone_final_class
BCW14	NA	NA	NA	Rep0	NA	BCW14	AshCopse	0D	12	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BCW15	NA	NA	NA	Rep0	NA	BCW15	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	3	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW16	NA	NA	NA	Rep0	NA	BCW16	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	3	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW17	NA	NA	NA	Rep0	NA	BCW17	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	3	2	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW18	NA	NA	NA	Rep0	NA	BCW18	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	3	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW19	NA	NA	NA	Rep0	NA	BCW19	AshCopse	0D	4	2	NA	NA	NA	NA	NA	Rep0.Class2	Class2	3	1	NA	Starting	Starting.Rep0.Class2	Starting.Class2	2	 Other	Starting communities
BCW20	NA	NA	NA	Rep0	NA	BCW20	AshCopse	0D	12	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BCW21	NA	NA	NA	Rep0	NA	BCW21	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	1	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW23	NA	NA	NA	Rep0	NA	BCW23	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW24	NA	NA	NA	Rep0	NA	BCW24	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
