sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Time0D_7D_4M
F10.Mix.SP02.2.Bag	NA	2	StrainMix	2	Yes	SP02	SilwoodPark	4M	1
F11.Mix.WYC42.2.Bag	NA	7	StrainMix	2	Yes	WYC42	WythamWoods	4M	1
F12.MQ.CTRL.2.NA	NA	NS	Water	2	Yes	CTRL	NA	4M	1
G9.CTRL.BB66.1.Com	NA	9	Water	1	Yes	BB66	BurhamBeeches	4M	1
G10.Mix.SP03.1.Bag	NA	4	Community	1	Yes	SP03	SilwoodPark	4M	1
G11.Mix.WYM25.1.Bag	NA	8	StrainMix	1	Yes	WYM25	WythamWoods	4M	1
G12.PCR.CTRL.1.NA	NA	NA	Water	1	Yes	CTRL	NA	4M	1
H9.CTRL.BB66.2.Com	NA	9	Community	2	Yes	BB66	BurhamBeeches	4M	2
H10.Mix.SP03.2.Bag	NA	4	StrainMix	2	Yes	SP03	SilwoodPark	4M	1
H11.Mix.WYM25.2.Bag	NA	8	StrainMix	2	Yes	WYM25	WythamWoods	4M	1
H12.PCR.CTRL.2.NA	NA	NA	Water	2	Yes	CTRL	NA	4M	1
AE05.1	NA	NA	NA	1	NA	AE05	AshridgeEstate	7D_rep1	2
AE05.2	NA	NA	NA	2	NA	AE05	AshridgeEstate	7D_rep2	2
AE05.3	NA	NA	NA	3	NA	AE05	AshridgeEstate	7D_rep3	2
AE05.4	NA	NA	NA	4	NA	AE05	AshridgeEstate	7D_rep4	2
AE100.1	NA	NA	NA	1	NA	AE100	AshridgeEstate	7D_rep1	3
AE100.2	NA	NA	NA	2	NA	AE100	AshridgeEstate	7D_rep2	3
AE100.3	NA	NA	NA	3	NA	AE100	AshridgeEstate	7D_rep3	3
AE100.4	NA	NA	NA	4	NA	AE100	AshridgeEstate	7D_rep4	2
AE101.1	NA	NA	NA	1	NA	AE101	AshridgeEstate	7D_rep1	2
AE101.2	NA	NA	NA	2	NA	AE101	AshridgeEstate	7D_rep2	2
AE101.3	NA	NA	NA	3	NA	AE101	AshridgeEstate	7D_rep3	2
AE101.4	NA	NA	NA	4	NA	AE101	AshridgeEstate	7D_rep4	2
AE103.1	NA	NA	NA	1	NA	AE103	AshridgeEstate	7D_rep1	2
AE103.2	NA	NA	NA	2	NA	AE103	AshridgeEstate	7D_rep2	2
AE103.3	NA	NA	NA	3	NA	AE103	AshridgeEstate	7D_rep3	2
AE103.4	NA	NA	NA	4	NA	AE103	AshridgeEstate	7D_rep4	2
AE107.1	NA	NA	NA	1	NA	AE107	AshridgeEstate	7D_rep1	2
AE107.2	NA	NA	NA	2	NA	AE107	AshridgeEstate	7D_rep2	2
AE107.3	NA	NA	NA	3	NA	AE107	AshridgeEstate	7D_rep3	2
AE107.4	NA	NA	NA	4	NA	AE107	AshridgeEstate	7D_rep4	2
AE110.2	NA	NA	NA	2	NA	AE110	AshridgeEstate	7D_rep2	2
AE110.4	NA	NA	NA	4	NA	AE110	AshridgeEstate	7D_rep4	2
AE116.1	NA	NA	NA	1	NA	AE116	AshridgeEstate	7D_rep1	1
AE116.2	NA	NA	NA	2	NA	AE116	AshridgeEstate	7D_rep2	3
AE116.3	NA	NA	NA	3	NA	AE116	AshridgeEstate	7D_rep3	3
AE116.4	NA	NA	NA	4	NA	AE116	AshridgeEstate	7D_rep4	4
AE12.1	NA	NA	NA	1	NA	AE12	AshridgeEstate	7D_rep1	2
AE12.2	NA	NA	NA	2	NA	AE12	AshridgeEstate	7D_rep2	2
AE12.4	NA	NA	NA	4	NA	AE12	AshridgeEstate	7D_rep4	2
AE121.1	NA	NA	NA	1	NA	AE121	AshridgeEstate	7D_rep1	2
AE121.2	NA	NA	NA	2	NA	AE121	AshridgeEstate	7D_rep2	2
AE121.4	NA	NA	NA	4	NA	AE121	AshridgeEstate	7D_rep4	2
AE126.1	NA	NA	NA	1	NA	AE126	AshridgeEstate	7D_rep1	4
AE126.2	NA	NA	NA	2	NA	AE126	AshridgeEstate	7D_rep2	3
AE126.3	NA	NA	NA	3	NA	AE126	AshridgeEstate	7D_rep3	3
AE126.4	NA	NA	NA	4	NA	AE126	AshridgeEstate	7D_rep4	3
AE148.1	NA	NA	NA	1	NA	AE148	AshridgeEstate	7D_rep1	4
AE148.2	NA	NA	NA	2	NA	AE148	AshridgeEstate	7D_rep2	2
AE155.1	NA	NA	NA	1	NA	AE155	AshridgeEstate	7D_rep1	2
AE155.2	NA	NA	NA	2	NA	AE155	AshridgeEstate	7D_rep2	2
AE155.3	NA	NA	NA	3	NA	AE155	AshridgeEstate	7D_rep3	2
AE155.4	NA	NA	NA	4	NA	AE155	AshridgeEstate	7D_rep4	2
AE172.1	NA	NA	NA	1	NA	AE172	AshridgeEstate	7D_rep1	2
AE172.2	NA	NA	NA	2	NA	AE172	AshridgeEstate	7D_rep2	2
AE172.3	NA	NA	NA	3	NA	AE172	AshridgeEstate	7D_rep3	2
AE172.4	NA	NA	NA	4	NA	AE172	AshridgeEstate	7D_rep4	2
AE198.3	NA	NA	NA	3	NA	AE198	AshridgeEstate	7D_rep3	2
AE198.4	NA	NA	NA	4	NA	AE198	AshridgeEstate	7D_rep4	2
AE22.1	NA	NA	NA	1	NA	AE22	AshridgeEstate	7D_rep1	2
AE22.2	NA	NA	NA	2	NA	AE22	AshridgeEstate	7D_rep2	2
AE22.3	NA	NA	NA	3	NA	AE22	AshridgeEstate	7D_rep3	2
AE22.4	NA	NA	NA	4	NA	AE22	AshridgeEstate	7D_rep4	2
AE23.1	NA	NA	NA	1	NA	AE23	AshridgeEstate	7D_rep1	2
AE23.2	NA	NA	NA	2	NA	AE23	AshridgeEstate	7D_rep2	2
AE23.3	NA	NA	NA	3	NA	AE23	AshridgeEstate	7D_rep3	2
AE23.4	NA	NA	NA	4	NA	AE23	AshridgeEstate	7D_rep4	2
AE26.1	NA	NA	NA	1	NA	AE26	AshridgeEstate	7D_rep1	1
AE26.2	NA	NA	NA	2	NA	AE26	AshridgeEstate	7D_rep2	1
AE26.3	NA	NA	NA	3	NA	AE26	AshridgeEstate	7D_rep3	1
AE26.4	NA	NA	NA	4	NA	AE26	AshridgeEstate	7D_rep4	1
AE27.1	NA	NA	NA	1	NA	AE27	AshridgeEstate	7D_rep1	3
AE27.2	NA	NA	NA	2	NA	AE27	AshridgeEstate	7D_rep2	3
AE27.3	NA	NA	NA	3	NA	AE27	AshridgeEstate	7D_rep3	3
AE27.4	NA	NA	NA	4	NA	AE27	AshridgeEstate	7D_rep4	2
AE50.1	NA	NA	NA	1	NA	AE50	AshridgeEstate	7D_rep1	3
AE50.2	NA	NA	NA	2	NA	AE50	AshridgeEstate	7D_rep2	2
AE50.3	NA	NA	NA	3	NA	AE50	AshridgeEstate	7D_rep3	3
AE50.4	NA	NA	NA	4	NA	AE50	AshridgeEstate	7D_rep4	2
AE52.1	NA	NA	NA	1	NA	AE52	AshridgeEstate	7D_rep1	3
